objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,file_name-old,object_location-old,image_small-old,image_thumb-old,image_alt_text,object_transcript,filename,object_location,image_small,image_thumb
suzs_032,"""The Prodigal Daughter""",amalz,,"An oil painting by Dr. Salimuzzaman Siddiqui titled ""The Prodigal Daughter""",art work,,,,Private Collection of Amal Zaman,,,,,,,image,prodigaldaughter.jpg,/objects/prodigaldaughter.jpg,/objects/small/prodigaldaughter_sm.jpg,/objects/thumbs/prodigaldaughter_th.jpg,,,prodigaldaughter.jpg,/objects/prodigaldaughter.jpg,/objects/small/prodigaldaughter_sm.jpg,/objects/thumbs/prodigaldaughter_th.jpg
suzs_033,"Detail from ""The Prodigal Daughter""",amalz,,"Detail from the oil painting by Dr. Salimuzzaman Siddiqui titled, ""The Prodigal Daughter""",art work,,,,Private Collection of Amal Zaman,,,,,,,image,prodigaldaughterdetail.jpg,/objects/prodigaldaughtercloseup.jpg,/objects/small/prodigaldaughtercloseup_sm.jpg,/objects/thumbs/prodigaldaughtercloseup_th.jpg,,,prodigaldaughterdetail.jpg,/objects/prodigaldaughterdetail.jpg,/objects/small/prodigaldaughterdetail_sm.jpg,/objects/thumbs/prodigaldaughterdetail_th.jpg
suzs_035,Imperatives of Research and Development in the Developing Countries,amalz,,"A conference paper titled, ""Imperatives of Research and Development in the Developing Countries"" presented at the Plenary Sessions of the Pontifical Academy of Sciences held on 20-23. October 1976.",papers,,,,Private Collection of Amal Zaman,,,,,,,image,researchanddevelopmentpresentation1976.pdf,/objects/researchanddevelopmentpresentation1976.pdf,/objects/small/researchanddevelopmentpresentation1976_sm.jpg,/objects/thumbs/researchanddevelopmentpresentation1976_th.jpg,,,researchanddevelopmentpresentation1976.pdf,/objects/researchanddevelopmentpresentation1976.pdf,/objects/small/researchanddevelopmentpresentation1976_sm.jpg,/objects/thumbs/researchanddevelopmentpresentation1976_th.jpg
suzs_036,"""Return of the Daughter""",amalz,,"A sketch by Dr. Salimuzzaman Siddiqui named Return of the Daughter, preperatory for oil painting titled, ""The Prodigal Daughter""",art work,,,,Private Collection of Amal Zaman,,,,,,,image,returnofthedaughter1941.jpeg,/objects/returnofthedaughter1941.jpeg,/objects/small/returnofthedaughter1941_sm.jpg,/objects/thumbs/returnofthedaughter1941_th.jpg,,,returnofthedaughter.jpeg,/objects/returnofthedaughter.jpeg,/objects/small/returnofthedaughter_sm.jpg,/objects/thumbs/returnofthedaughter_th.jpg
suzs_037,"Detail from ""Return of the Daughter""",amalz,,"Detail from a sketch by Dr. Salimuzzaman Siddiqui named Return of the Daughter, preperatory for oil painting titled, ""The Prodigal Daughter""",art work,,,,Private Collection of Amal Zaman,,,,,,,image,returnofthedaughter1941detail.jpeg,/objects/returnofthedaughter1941detail.jpeg,/objects/small/returnofthedaughter1941detail_sm.jpg,/objects/thumbs/returnofthedaughter1941detail_th.jpg,,,returnofthedaughter1941detail.jpeg,/objects/returnofthedaughter1941detail.jpeg,/objects/small/returnofthedaughter1941detail_sm.jpg,/objects/thumbs/returnofthedaughter1941detail_th.jpg
suzs_038,Salimuzzaman Siddiqui's obituary from the Royal Society,amalz,,An obituary published by the Royal Society,biography,,,,Private Collection of Amal Zaman,,,,,,,pdf,royalsocietyobit.pdf,/objects/royalsocietyobit.pdf,/objects/small/royalsocietyobit_sm.jpg,/objects/thumbs/royalsocietyobit_th.jpg,,,royalsocietyobit.pdf,/objects/royalsocietyobit.pdf,/objects/small/royalsocietyobit_sm.jpg,/objects/thumbs/royalsocietyobit_th.jpg
suzs_040,Salimuzzaman Siddiqui's Curriculum Vitae,amalz,,"A copy of Salimuzzaman Siddiqui's Curriculum Vitae, date unknown.",biography,,,,Private Collection of Amal Zaman,,,,,,,pdf,salimuzzscv.pdf,/objects/salimuzzscv.pdf,/objects/small/salimuzzscv_sm.jpg,/objects/thumbs/salimuzzscv_th.jpg,,,salimuzzscv.pdf,/objects/salimuzzscv.pdf,/objects/small/salimuzzscv_sm.jpg,/objects/thumbs/salimuzzscv_th.jpg
suzs_041,Salimuzzaman Siddiqui profile,amalz,,A photograph of Dr. Salimuzzaman Siddiqui,personal photography,,,,Private Collection of Amal Zaman,,,,,,,pdf,salimuzzsphoto.pdf,/objects/salimuzzsphoto.pdf,/objects/small/salimuzzsphoto_sm.jpg,/objects/thumbs/salimuzzsphoto_th.jpg,,,salimuzzsphoto.pdf,/objects/salimuzzsphoto.pdf,/objects/small/salimuzzsphoto_sm.jpg,/objects/thumbs/salimuzzsphoto_th.jpg
suzs_042,"Autobiographical Essay, 1982, pg 1",amalz,,An autobiographical essay by Dr. Salimuzzaman Siddiqui written in 1982,papers,,,,Private Collection of Amal Zaman,,,,,,,image,selfintroduction1.jpeg,/objects/selfintroduction1.jpeg,/objects/small/selfintroduction1_sm.jpg,/objects/thumbs/selfintroduction1_th.jpg,,,selfintroduction1.jpeg,/objects/selfintroduction1.jpeg,/objects/small/selfintroduction1_sm.jpg,/objects/thumbs/selfintroduction1_th.jpg
suzs_043,"Autobiographical Essay, 1982, pg 2",amalz,,An autobiographical essay by Dr. Salimuzzaman Siddiqui written in 1982,papers,,,,Private Collection of Amal Zaman,,,,,,,image,selfintroduction2.jpeg,/objects/selfintroduction2.jpeg,/objects/small/selfintroduction2_sm.jpg,/objects/thumbs/selfintroduction2_th.jpg,,,selfintroduction2.jpeg,/objects/selfintroduction2.jpeg,/objects/small/selfintroduction2_sm.jpg,/objects/thumbs/selfintroduction2_th.jpg
suzs_044,Self-portrait 1,amalz,,An autobiographical sketch by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,selfportrait1.jpeg,/objects/selfportrait1.jpeg,/objects/small/selfportrait1_sm.jpg,/objects/thumbs/selfportrait1_th.jpg,,,selfportrait1.jpeg,/objects/selfportrait1.jpeg,/objects/small/selfportrait1_sm.jpg,/objects/thumbs/selfportrait1_th.jpg
suzs_045,Self-portrait 2,amalz,,An autobiographical sketch by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,selfportrait2.jpeg,/objects/selfportrait2.jpeg,/objects/small/selfportrait2_sm.jpg,/objects/thumbs/selfportrait2_th.jpg,,,selfportrait2.jpeg,/objects/selfportrait2.jpeg,/objects/small/selfportrait2_sm.jpg,/objects/thumbs/selfportrait2_th.jpg
suzs_046,Self-portrait 3,amalz,,An autobiographical sketch by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,selfportrait3.jpeg,/objects/selfportrait3.jpeg,/objects/small/selfportrait3_sm.jpg,/objects/thumbs/selfportrait3_th.jpg,,,selfportrait3.jpeg,/objects/selfportrait3.jpeg,/objects/small/selfportrait3_sm.jpg,/objects/thumbs/selfportrait3_th.jpg
suzs_047,"""Sindhi Dervaish"" ",amalz,,"An ink painting by Dr. Salimuzzaman Siddiqui titled ""Sindhi Dervaish"" ",art work,,,,Private Collection of Amal Zaman,,,,,,,image,sindhidervaishink.jpeg,/objects/sindhidervaishink.jpeg,/objects/small/sindhidervaishink_sm.jpg,/objects/thumbs/sindhidervaishink_th.jpg,,,sindhidervaishink.jpeg,/objects/sindhidervaishink.jpeg,/objects/small/sindhidervaishink_sm.jpg,/objects/thumbs/sindhidervaishink_th.jpg
suzs_048,Untitled graphite sketch,amalz,,A graphite sketch by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,sketch1.jpg,/objects/sketch1.jpg,/objects/small/sketch1_sm.jpg,/objects/thumbs/sketch1_th.jpg,,,sketch1.jpg,/objects/sketch1.jpg,/objects/small/sketch1_sm.jpg,/objects/thumbs/sketch1_th.jpg
suzs_049,Untitled graphite sketch,amalz,,A graphite sketch by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,sketch2.jpg,/objects/sketch2.jpg,/objects/small/sketch2_sm.jpg,/objects/thumbs/sketch2_th.jpg,,,sketch2.jpg,/objects/sketch2.jpg,/objects/small/sketch2_sm.jpg,/objects/thumbs/sketch2_th.jpg
suzs_050,Untitled graphite sketch,amalz,,A graphite sketch by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,sketch3.jpg,/objects/sketch3.jpg,/objects/small/sketch3_sm.jpg,/objects/thumbs/sketch3_th.jpg,,,sketch3.jpg,/objects/sketch3.jpg,/objects/small/sketch3_sm.jpg,/objects/thumbs/sketch3_th.jpg
